"In-Situ Inc.","Troll",,,,,
,,,,,,
"Report generated:",10/2/2003,15:16:09,,,,
"Report from file:","J:\shreiner\SsFL\Northeast Area Studies\Pumping Tests\C-1\bin Files\New to be updated\SN13360 2003-08-25 110000 WS-14 C1 P-test.bin",,,,,
"DataMgr Version",3.7,,,,,
,,,,,,
"Serial number:",13360,,,,,
"Firmware Version",7.1,,,,,
"Unit name: ","SP-4000",,,,,
,,,,,,
"Test name:",,"WS-14 C1 P-test",,,,
,,,,,,
"Test defined on:",8/21/2003,11:10:26,,,,
"Test scheduled for:",8/25/2003,11:00:00,,,,
"Test started on:",8/25/2003,11:00:00,,,,
"Test stopped on:","N/A","N/A",,,,
"Test extracted on:",9/30/2003,10:50:15,,,,
,,,,,,
"Data gathered using Logarithmic testing",,,,,,
"   Maximum time between data points:      10.0000","Minutes.",,,,,
"   Number of data samples:",5316,,,,,
,,,,,,
,,,,,,
"TOTAL DATA SAMPLES",5316,,,,,
,,,,,,
"Channel number [2]",,,,,,
"  Measurement type:","Pressure",,,,,
"  Channel name:","WS14 dtw",,,,,
37858.46038194440000000000,2.9530,0.0492,0.0021,354.1050,0.0600,1524.1250
37858.46049768520000000000,3.1297,0.0522,0.0022,354.1050,0.0600,1524.1250
37858.46062500000000000000,3.3163,0.0553,0.0023,354.1050,0.0600,1524.1250
37858.46076388890000000000,3.5147,0.0586,0.0024,354.1050,0.0600,1524.1250
37858.46091435190000000000,3.7247,0.0621,0.0026,354.1050,0.0600,1524.1250
37858.46106481480000000000,3.9463,0.0658,0.0027,354.1050,0.0600,1524.1250
37858.46122685190000000000,4.1813,0.0697,0.0029,354.0920,0.0470,1524.1380
37858.46140046300000000000,4.4297,0.0738,0.0031,354.0920,0.0470,1524.1380
37858.46158564810000000000,4.6930,0.0782,0.0033,354.0920,0.0470,1524.1380
37858.46178240740000000000,4.9730,0.0829,0.0035,354.0920,0.0470,1524.1380
37858.46199074070000000000,5.2697,0.0878,0.0037,354.1050,0.0600,1524.1250
37858.46219907410000000000,5.5830,0.0931,0.0039,354.0920,0.0470,1524.1380
37858.46243055560000000000,5.9147,0.0986,0.0041,354.1050,0.0600,1524.1250
37858.46267361110000000000,6.2663,0.1044,0.0044,354.1050,0.0600,1524.1250
37858.46293981480000000000,6.6397,0.1107,0.0046,354.1050,0.0600,1524.1250
37858.46321759260000000000,7.0347,0.1172,0.0049,354.1050,0.0600,1524.1250
37858.46350694440000000000,7.4530,0.1242,0.0052,354.1050,0.0600,1524.1250
37858.46380787040000000000,7.8963,0.1316,0.0055,354.0920,0.0470,1524.1380
37858.46413194440000000000,8.3663,0.1394,0.0058,354.1050,0.0600,1524.1250
37858.46447916670000000000,8.8647,0.1477,0.0062,354.1050,0.0600,1524.1250
37858.46484953700000000000,9.3913,0.1565,0.0065,354.1050,0.0600,1524.1250
37858.46523148150000000000,9.9497,0.1658,0.0069,354.1050,0.0600,1524.1250
37858.46564814820000000000,10.5413,0.1757,0.0073,354.0920,0.0470,1524.1380
37858.46608796300000000000,11.1680,0.1861,0.0078,354.1050,0.0600,1524.1250
37858.46653935190000000000,11.8313,0.1972,0.0082,354.1050,0.0600,1524.1250
37858.46703703700000000000,12.5347,0.2089,0.0087,354.1050,0.0600,1524.1250
37858.46754629630000000000,13.2797,0.2213,0.0092,354.0920,0.0470,1524.1380
37858.46810185190000000000,14.0697,0.2345,0.0098,354.0920,0.0470,1524.1380
37858.46868055560000000000,14.9063,0.2484,0.0104,354.1050,0.0600,1524.1250
37858.46929398150000000000,15.7913,0.2632,0.0110,354.0920,0.0470,1524.1380
37858.46994212960000000000,16.7297,0.2788,0.0116,354.0920,0.0470,1524.1380
37858.47063657410000000000,17.7230,0.2954,0.0123,354.1050,0.0600,1524.1250
37858.47136574070000000000,18.7763,0.3129,0.0130,354.0920,0.0470,1524.1380
37858.47214120370000000000,19.8913,0.3315,0.0138,354.1050,0.0600,1524.1250
37858.47296296300000000000,21.0730,0.3512,0.0146,354.1050,0.0600,1524.1250
37858.47383101850000000000,22.3247,0.3721,0.0155,354.1050,0.0600,1524.1250
37858.47474537040000000000,23.6497,0.3942,0.0164,354.1050,0.0600,1524.1250
37858.47572916670000000000,25.0547,0.4176,0.0174,354.1050,0.0600,1524.1250
37858.47675925930000000000,26.5430,0.4424,0.0184,354.1050,0.0600,1524.1250
37858.47785879630000000000,28.1180,0.4686,0.0195,354.1050,0.0600,1524.1250
37858.47901620370000000000,29.7863,0.4964,0.0207,354.1050,0.0600,1524.1250
37858.48024305560000000000,31.5547,0.5259,0.0219,354.1050,0.0600,1524.1250
37858.48153935190000000000,33.4280,0.5571,0.0232,354.1050,0.0600,1524.1250
37858.48291666670000000000,35.4113,0.5902,0.0246,354.0920,0.0470,1524.1380
37858.48437500000000000000,37.5130,0.6252,0.0261,354.1050,0.0600,1524.1250
37858.48592592590000000000,39.7397,0.6623,0.0276,354.1050,0.0600,1524.1250
37858.48755787040000000000,42.0980,0.7016,0.0292,354.1050,0.0600,1524.1250
37858.48929398150000000000,44.5963,0.7433,0.0310,354.1050,0.0600,1524.1250
37858.49113425930000000000,47.2430,0.7874,0.0328,354.1050,0.0600,1524.1250
37858.49307870370000000000,50.0463,0.8341,0.0348,354.1050,0.0600,1524.1250
37858.49513888890000000000,53.0147,0.8836,0.0368,354.0920,0.0470,1524.1380
37858.49732638890000000000,56.1597,0.9360,0.0390,354.0920,0.0470,1524.1380
37858.49964120370000000000,59.4913,0.9915,0.0413,354.1050,0.0600,1524.1250
37858.50209490740000000000,63.0197,1.0503,0.0438,354.1050,0.0600,1524.1250
