UTC,WL_ft,,,
735697.5764,49.57784453,,,
735697.5833,49.56579247,,,
735697.5903,49.57784453,,,
735697.5972,49.57784453,,,
735697.6042,49.57784453,,,
735697.6111,49.57784453,,,
735697.6181,49.57784453,,,
735697.625,49.56579247,,,
735697.6319,49.56579247,,,
735697.6389,49.56579247,,,
735697.6458,49.5537404,,,
735697.6528,49.56579247,,,
735697.6597,49.56579247,,,
735697.6667,49.56579247,,,
735697.6736,49.56579247,,,
735697.6806,49.56579247,,,
735697.6875,49.56579247,,,
735697.6944,49.5537404,,,
735697.7014,49.56579247,,,
735697.7083,49.56579247,,,
735697.7153,49.56579247,,,
735697.7222,49.56579247,,,
735697.7292,49.56579247,,,
735697.7361,49.56579247,,,
735697.7431,49.56579247,,,
735697.75,49.56579247,,,
735697.7569,49.57784453,,,
735697.7639,49.56579247,,,
735697.7708,49.56579247,,,
735697.7778,49.57784453,,,
735697.7847,49.57784453,,,
735697.7917,49.57784453,,,
735697.7986,49.56579247,,,
735697.8056,49.56579247,,,
735697.8125,49.56579247,,,
735697.8194,49.56579247,,,
735697.8264,49.56579247,,,
735697.8333,49.5537404,,,
735697.8403,49.56579247,,,
735697.8472,49.56579247,,,
735697.8542,49.56579247,,,
735697.8611,49.57784453,,,
735697.8681,49.57784453,,,
735697.875,49.57784453,,,
735697.8819,49.57784453,,,
735697.8889,49.57784453,,,
735697.8958,49.57784453,,,
735697.9028,49.59023138,,,
735697.9097,49.57784453,,,
735697.9167,49.57784453,,,
735697.9236,49.57784453,,,
735697.9306,49.57784453,,,
735697.9375,49.56579247,,,
735697.9444,49.57784453,,,
735697.9514,49.57784453,,,
735697.9583,49.56579247,,,
735697.9653,49.56579247,,,
735697.9722,49.57784453,,,
735697.9792,49.56579247,,,
735697.9861,49.5537404,,,
735697.9931,49.5537404,,,
735698,49.5537404,,,
735698.0069,49.5537404,,,
735698.0139,49.5537404,,,
735698.0208,49.5537404,,,
735698.0278,49.5537404,,,
735698.0347,49.54168834,,,
735698.0417,49.5537404,,,
735698.0486,49.54168834,,,
735698.0556,49.54168834,,,
735698.0625,49.54168834,,,
735698.0694,49.54168834,,,
735698.0764,49.54168834,,,
735698.0833,49.54168834,,,
735698.0903,49.54168834,,,
735698.0972,49.54168834,,,
735698.1042,49.54168834,,,
735698.1111,49.5537404,,,
735698.1181,49.5537404,,,
735698.125,49.54168834,,,
735698.1319,49.54168834,,,
735698.1389,49.54168834,,,
735698.1458,49.5537404,,,
735698.1528,49.5537404,,,
735698.1597,49.54168834,,,
735698.1667,49.54168834,,,
735698.1736,49.54168834,,,
735698.1806,49.5537404,,,
735698.1875,49.5537404,,,
735698.1944,49.5537404,,,
735698.2014,49.5537404,,,
735698.2083,49.54168834,,,
735698.2153,49.54168834,,,
735698.2222,49.54168834,,,
735698.2292,49.54168834,,,
735698.2361,49.5537404,,,
735698.2431,49.54168834,,,
735698.25,49.54168834,,,
735698.2569,49.56579247,,,
735698.2639,49.5537404,,,
735698.2708,49.56579247,,,
735698.2778,49.56579247,,,
735698.2847,49.5537404,,,
735698.2917,49.56579247,,,
735698.2986,49.56579247,,,
735698.3056,49.56579247,,,
735698.3125,49.56579247,,,
735698.3194,49.56579247,,,
735698.3264,49.56579247,,,
735698.3333,49.56579247,,,
735698.3403,49.56579247,,,
735698.3472,49.56579247,,,
735698.3542,49.57784453,,,
735698.3611,49.57784453,,,
735698.3681,49.57784453,,,
735698.375,49.59023138,,,
735698.3819,49.57784453,,,
735698.3889,49.57784453,,,
735698.3958,49.57784453,,,
735698.4028,49.59023138,,,
735698.4097,49.59023138,,,
735698.4167,49.59023138,,,
735698.4236,49.60228344,,,
735698.4306,49.60228344,,,
735698.4375,49.60228344,,,
735698.4444,49.60228344,,,
735698.4514,49.60228344,,,
735698.4583,49.60228344,,,
735698.4653,49.59023138,,,
735698.4722,49.59023138,,,
735698.4792,49.60228344,,,
735698.4861,49.60228344,,,
735698.4931,49.60228344,,,
735698.5,49.60228344,,,
735698.5069,49.59023138,,,
735698.5139,49.60228344,,,
735698.5208,49.60228344,,,
735698.5278,49.60228344,,,
735698.5347,49.60228344,,,
735698.5417,49.61433551,,,
735698.5486,49.59023138,,,
735698.5556,49.60228344,,,
735698.5625,49.59023138,,,
735698.5694,49.59023138,,,
735698.5764,49.59023138,,,
735698.5833,49.59023138,,,
735698.5903,49.57784453,,,
735698.5972,49.59023138,,,
735698.6042,49.57784453,,,
735698.6111,49.59023138,,,
735698.6181,49.59023138,,,
735698.625,49.59023138,,,
735698.6319,49.59023138,,,
735698.6389,49.57784453,,,
735698.6458,49.56579247,,,
735698.6528,49.57784453,,,
735698.6597,49.56579247,,,
735698.6667,49.57784453,,,
735698.6736,49.56579247,,,
735698.6806,49.57784453,,,
735698.6875,49.56579247,,,
735698.6944,49.57784453,,,
735698.7014,49.57784453,,,
735698.7083,49.57784453,,,
735698.7153,49.57784453,,,
735698.7222,49.57784453,,,
735698.7292,49.56579247,,,
735698.7361,49.57784453,,,
735698.7431,49.57784453,,,
735698.75,49.56579247,,,
735698.7569,49.56579247,,,
735698.7639,49.56579247,,,
735698.7708,49.57784453,,,
735698.7778,49.56579247,,,
735698.7847,49.56579247,,,
